门店名称	菜品名称	物料名称	毛料	净料	单价	单位	物料成本
总部	团购锅仔鹿茸菇	食用盐400g*60	2	2	1.5	克	0.01
总部	团购锅仔鹿茸菇	海天草菇老抽500ml*12	8	8	6.8	毫升	0.11
总部	团购锅仔鹿茸菇	鹿茸菌	0.16	0.16	120	斤	19.2
总部	团购锅仔鹿茸菇	李锦记锦珍生抽500ml	10	10	4.51	毫升	0.09
总部	团购大蒜辣椒炒腊牛肉5	小米椒	50	50	6.5	克	0.65
总部	团购大蒜辣椒炒腊牛肉5	生姜	25	25	2.51	克	0.13
总部	团购大蒜辣椒炒腊牛肉5	大蒜叶	120	120	2.2	克	0.53
总部	团购大蒜辣椒炒腊牛肉5	大蒜子	50	50	2.82	克	0.28
总部	团购大蒜辣椒炒腊牛肉5	黄野山椒粉	15	15	19	克	0.57
总部	团购大蒜辣椒炒腊牛肉5	腊牛肉	150	150	67	克	20.1
总部	团购大蒜辣椒炒腊牛肉5	海天上等蚝油6000g*2	5	5	35	克	0.04
总部	团购大蒜辣椒炒腊牛肉5	家乐鸡精900g*10	5	5	20.53	克	0.11
总部	团购大蒜辣椒炒腊牛肉5	食用盐400g*60	2	2	1.5	克	0.01
总部	团购大蒜辣椒炒腊牛肉5	海天草菇老抽500ml*12	8	8	6.8	毫升	0.11
总部	团购大蒜辣椒炒腊牛肉5	莲花味精2000g*5	5	5	26	克	0.07
总部	团购大蒜辣椒炒腊牛肉5	大豆油	80	80	141	克	0.56
总部	团购家常大盆鸡	生姜	100	100	2.51	克	0.5
总部	团购家常大盆鸡	大蒜子	15	15	2.82	克	0.08
总部	团购家常大盆鸡	螺丝椒	100	100	3	克	0.6
总部	团购家常大盆鸡	冻肥膘	75	75	6	克	0.9
总部	团购家常大盆鸡	花猪肉	75	75	12.8	克	1.92
总部	团购家常大盆鸡	黑脚鸡	650	650	1.5	克	1.95
总部	团购家常大盆鸡	白胡椒粒	5	5	56	克	0.56
总部	团购家常大盆鸡	红星二锅头500ml*12	6	6	7.5	毫升	0.09
总部	团购家常大盆鸡	食用盐400g*60	2	2	1.5	克	0.01
总部	团购家常大盆鸡	海天草菇老抽500ml*12	8	8	6.8	毫升	0.11
总部	团购家常大盆鸡	莲花味精2000g*5	5	5	26	克	0.07
总部	团购家常大盆鸡	原味黄野山椒节	5	5	20	克	0.2
总部	团购家常大盆鸡	李锦记锦珍生抽500ml	15	15	4.51	毫升	0.14
总部	团购邵阳血浆鸭	小米椒	8	8	6.5	克	0.1
总部	团购邵阳血浆鸭	生姜	50	50	2.51	克	0.25
总部	团购邵阳血浆鸭	大蒜子	30	30	2.82	克	0.17
总部	团购邵阳血浆鸭	香葱	2	2	2.81	克	0.01
总部	团购邵阳血浆鸭	洋葱	120	120	1.8	克	0.43
总部	团购邵阳血浆鸭	仔鸭	600	600	11	克	13.2
总部	团购邵阳血浆鸭	海天上等蚝油6000g*2	5	5	35	克	0.04
总部	团购邵阳血浆鸭	俾县红油豆瓣	15	15	2	克	0.09
总部	团购邵阳血浆鸭	海天草菇老抽500ml*12	5	5	6.8	毫升	0.07
总部	团购邵阳血浆鸭	原味黄野山椒节	10	10	20	克	0.4
总部	团购邵阳血浆鸭	大豆油	30	30	141	克	0.21
总部	团购邵阳血浆鸭	帅牌原味菜籽油20L	50	50	180	克	0.49
总部	虎牌晶纯550ml	550虎牌晶纯	1	1	4.75	瓶	4.75
总部	喜力	500ml喜力	1	1	7.08	瓶	7.08
总部	百威580ml	580ml百威	1	1	4.83	瓶	4.83
总部	45度古井陈酿150ml	45度150ml古井陈酿	1	1	9	瓶	9
总部	石库门红标	石库门红标	1	1	0	瓶	0
总部	古越龙山5年陈	古越龙山5年陈	1	1	0	瓶	0
总部	和酒金色年华5年	和酒金色年华5年	1	1	0	瓶	0
总部	古越龙山青花瓷8年	古越龙山青瓷8年	1	1	0	瓶	0
总部	华夏长城干红	华夏长城干红	1	1	0	瓶	0
总部	澳洲阳光干红	澳洲阳光干红	1	1	68	瓶	68
总部	52度小糊涂仙250ml	52度250ml小糊涂仙	1	1	59	瓶	59
总部	杰卡斯梅洛干红	杰卡斯梅洛干红	1	1	0	瓶	0
总部	张裕解百纳	张裕解百纳	1	1	118	瓶	118
总部	加多宝凉茶310ml	310ml加多宝凉茶	1	1	2.14	厅	2.14
总部	可口可乐310ml	310ml听可口可乐	1	1	1.79	厅	1.79
总部	雪碧310ml	310ml听雪碧	1	1	1.79	厅	1.79
总部	农家薯粉钵	大蒜叶	30	30	3.4	克	0.2
总部	农家薯粉钵	红薯粉	200	200	16	克	6.4
总部	农家薯粉钵	冻肥膘	50	50	6	克	0.6
总部	农家薯粉钵	肉泥	50	50	12	克	1.2
总部	农家薯粉钵	白胡椒粉	5	5	36.33	克	0.36
总部	农家薯粉钵	家乐鸡精900g*10	5	5	20.5	克	0.11
总部	农家薯粉钵	老一品豆豉180g*30	15	15	4	克	0.33
总部	农家薯粉钵	食用盐400g*60	3	3	0.5	克	0
总部	农家薯粉钵	海天草菇老抽500ml*12	6	6	6.8	毫升	0.08
总部	农家薯粉钵	莲花味精2000g*5	5	5	26	克	0.07
总部	桃江炖萝卜	白萝卜	850	850	1	克	1.7
总部	桃江炖萝卜	冻肥膘	50	50	6	克	0.6
总部	桃江炖萝卜	冻鸡油	50	50	5.5	克	0.55
总部	桃江炖萝卜	白糖	2	2	3.87	克	0.02
总部	桃江炖萝卜	枸杞	0.5	0.5	31.5	克	0.03
总部	桃江炖萝卜	家乐鸡精900g*10	5	5	20.5	克	0.11
总部	桃江炖萝卜	家乐鸡汁1000g*6	8	8	54.17	克	0.43
总部	桃江炖萝卜	食用盐400g*60	2	2	0.5	克	0
总部	桃江炖萝卜	莲花味精2000g*5	2	2	26	克	0.03
总部	有机花菜钵	小米椒	6	6	10	克	0.12
总部	有机花菜钵	大蒜子	5	5	4	克	0.04
总部	有机花菜钵	有机花菜	500	500	3.5	克	3.5
总部	有机花菜钵	海天红烧酱油500ml*12	4	4	6.25	毫升	0.05
总部	有机花菜钵	老一品豆豉180g*30	6	6	4	克	0.13
总部	有机花菜钵	食用盐400g*60	2	2	0.5	克	0
总部	有机花菜钵	莲花味精2000g*5	2	2	26	克	0.03
总部	有机花菜钵	大豆油	50	50	104.5	克	0.26
总部	有机花菜钵	李锦记蚝油6000ml	4	4	35	毫升	0.02
总部	湘莲排骨汤	生姜	2	2	3.15	克	0.01
总部	湘莲排骨汤	仔排	50	50	15.5	克	1.55
总部	湘莲排骨汤	白胡椒粉	0.5	0.5	36.33	克	0.04
总部	湘莲排骨汤	枸杞	0.5	0.5	31.5	克	0.03
总部	湘莲排骨汤	家乐鸡精900g*10	0.5	0.5	20.5	克	0.01
总部	湘莲排骨汤	食用盐400g*60	2	2	0.5	克	0
总部	湘莲排骨汤	湘莲	15	15	28	克	0.84
总部	湘莲排骨汤	绍兴花雕酒600ml	15	15	5	克	0.13
总部	湘莲排骨汤	双桥味精2.5kg	2	2	36	克	0.03
总部	老卤凤爪	袋装L凤爪1*12包	1	1	11	个	0.55
总部	老卤凤爪	大豆油	5	5	104.5	克	0.03
总部	辣椒小炒肉	大蒜子	20	20	4	克	0.16
总部	辣椒小炒肉	螺丝椒	250	250	5.9	克	2.95
总部	辣椒小炒肉	冻肥膘	50	50	6	克	0.6
总部	辣椒小炒肉	带皮五花肉	150	150	13.9	克	4.17
总部	辣椒小炒肉	后腿瘦肉	120	120	14	克	3.36
总部	辣椒小炒肉	海天上等蚝油6000g*2	6	6	35	克	0.04
总部	辣椒小炒肉	老一品豆豉180g*30	15	15	4	克	0.33
总部	辣椒小炒肉	食用盐400g*60	3	3	0.5	克	0
总部	辣椒小炒肉	海天草菇老抽500ml*12	5	5	6.8	毫升	0.07
总部	辣椒小炒肉	莲花味精2000g*5	3	3	26	克	0.04
总部	辣椒小炒肉	大豆油	20	20	104.5	克	0.1
总部	湘味水芹菜	大蒜子	5	5	4	克	0.04
总部	湘味水芹菜	冻肥膘	100	100	6	克	1.2
总部	湘味水芹菜	去籽红干椒节	5	5	11	克	0.11
总部	湘味水芹菜	老一品豆豉180g*30	5	5	4	克	0.11
总部	湘味水芹菜	食用盐400g*60	10	10	0.5	克	0.01
总部	湘味水芹菜	家乐蒸鱼豉油2.35KG*6	5	5	24.67	克	0.05
总部	湘味水芹菜	莲花味精2000g*5	10	10	26	克	0.13
总部	湘味水芹菜	水芹菜	600	600	2.5	克	3
总部	老卤香鸭头	白糖	2	2	3.87	克	0.02
总部	老卤香鸭头	红曲米	2	2	5.6	克	0.02
总部	老卤香鸭头	家乐鸡精900g*10	2	2	20.5	克	0.05
总部	老卤香鸭头	卤药	10	10	26	克	0.52
总部	老卤香鸭头	食用盐400g*60	2	2	0.5	克	0
总部	老卤香鸭头	家乐蒸鱼豉油2.35KG*6	10	10	24.67	克	0.11
总部	老卤香鸭头	莲花味精2000g*5	2	2	26	克	0.03
总部	老卤香鸭头	原味黄野山椒节	3	3	18	克	0.11
总部	老卤香鸭头	大豆油	25	25	104.5	克	0.13
总部	老卤香鸭头	李锦记锦珍生抽500ml	10	10	4.5	毫升	0.09
总部	老卤香鸭头	鸭头	1	1	12	个	1.33
总部	永州血浆鸭	小米椒	15	15	10	克	0.3
总部	永州血浆鸭	生姜	20	20	3.15	克	0.13
总部	永州血浆鸭	大蒜子	30	30	4	克	0.24
总部	永州血浆鸭	香葱	2	2	4.75	克	0.02
总部	永州血浆鸭	洋葱	120	120	1.5	克	0.36
总部	永州血浆鸭	仔鸭	600	600	5.7	克	6.84
总部	永州血浆鸭	海天红烧酱油500ml*12	8	8	6.25	毫升	0.1
总部	永州血浆鸭	海天上等蚝油6000g*2	8	8	35	克	0.05
总部	永州血浆鸭	陴县红油豆瓣250g*40	15	15	2	克	0.12
总部	永州血浆鸭	原味黄野山椒节	10	10	18	克	0.36
总部	永州血浆鸭	大豆油	30	30	104.5	克	0.16
总部	永州血浆鸭	帅牌原味菜籽油20L	50	50	180	克	0.49
总部	武冈卤香干	香菜	15	15	5.35	克	0.16
总部	武冈卤香干	大蒜子	8	8	4	克	0.06
总部	武冈卤香干	义丰祥麻油350ml*20	8	8	3.75	克	0.09
总部	武冈卤香干	武冈卤香干500g*34	125	125	11.04	克	2.76
总部	武冈卤香干	莲花味精2000g*5	1	1	26	克	0.01
总部	武冈卤香干	津山口福猛辣剁椒10KG	15	15	104	克	0.16
总部	武冈卤香干	大豆油	10	10	104.5	克	0.05
总部	小炒黄牛肉	生姜	20	20	3.15	克	0.13
总部	小炒黄牛肉	大蒜子	40	40	4	克	0.32
总部	小炒黄牛肉	芹菜	120	120	3	克	0.72
总部	小炒黄牛肉	牛菱	250	250	33.5	克	16.75
总部	小炒黄牛肉	唐辣子剁辣椒10kg	50	50	110	克	0.55
总部	小炒黄牛肉	海天草菇老抽500ml*12	3	3	6.8	毫升	0.04
总部	小炒黄牛肉	帅牌原味菜籽油20L	70	70	180	克	0.68
总部	小炒黄牛肉	李锦记蚝油6000ml	10	10	35	毫升	0.06
总部	热卤四合一	大蒜子	5	5	4	克	0.04
总部	热卤四合一	牛菱	80	80	33.5	克	5.36
总部	热卤四合一	红辣椒粉	8	8	9.17	克	0.15
总部	热卤四合一	海天红烧酱油500ml*12	10	10	6.25	毫升	0.13
总部	热卤四合一	义丰祥麻油350ml*20	5	5	3.75	克	0.05
总部	热卤四合一	捆鸡	140	140	4.5	克	1.26
总部	热卤四合一	冻牛肚1*45	100	100	20.5	克	4.1
总部	热卤四合一	大豆油	40	40	104.5	克	0.21
总部	热卤四合一	韭菜	70	70	4.25	克	0.6
总部	酸汤煮花甲	紫苏	15	15	4.5	克	0.14
总部	酸汤煮花甲	青椒	130	130	4.15	克	1.08
总部	酸汤煮花甲	生姜	30	30	3.15	克	0.19
总部	酸汤煮花甲	大蒜子	30	30	4	克	0.24
总部	酸汤煮花甲	香葱	10	10	4.75	克	0.1
总部	酸汤煮花甲	食用盐400g*60	2	2	0.5	克	0
总部	酸汤煮花甲	海天草菇老抽500ml*12	10	10	6.8	毫升	0.14
总部	酸汤煮花甲	莲花味精2000g*5	2	2	26	克	0.03
总部	酸汤煮花甲	花甲1*10	1	1	8.8	包	8.8
总部	酸汤煮花甲	大豆油	50	50	104.5	克	0.26
总部	酸汤煮花甲	金牌牛蛙酱	30	30	125	克	1.5
总部	老卤香猪手	生姜	10	10	3.15	克	0.06
总部	老卤香猪手	香葱	10	10	4.75	克	0.1
总部	老卤香猪手	洋葱	10	10	1.5	克	0.03
总部	老卤香猪手	鲜猪手	2	2	13.5	边	13.5
总部	老卤香猪手	白糖	3	3	3.87	克	0.02
总部	老卤香猪手	红曲米	5	5	5.6	克	0.06
总部	老卤香猪手	红辣椒粉	5	5	9.17	克	0.09
总部	老卤香猪手	家乐鸡精900g*10	2	2	20.5	克	0.05
总部	老卤香猪手	卤药	10	10	26	克	0.52
总部	老卤香猪手	食用盐400g*60	2	2	0.5	克	0
总部	老卤香猪手	家乐蒸鱼豉油2.35KG*6	10	10	24.67	克	0.11
总部	老卤香猪手	莲花味精2000g*5	2	2	26	克	0.03
总部	老卤香猪手	原味黄野山椒节	2	2	18	克	0.07
总部	老卤香猪手	大豆油	50	50	104.5	克	0.26
总部	老卤香猪手	李锦记锦珍生抽500ml	10	10	4.5	毫升	0.09
总部	酸汤馋嘴蛙	白萝卜	200	200	1	克	0.4
总部	酸汤馋嘴蛙	紫苏	15	15	4.5	克	0.14
总部	酸汤馋嘴蛙	生姜	30	30	3.15	克	0.19
总部	酸汤馋嘴蛙	大蒜子	40	40	4	克	0.32
总部	酸汤馋嘴蛙	冻肥膘	80	80	6	克	0.96
总部	酸汤馋嘴蛙	牛蛙	700	700	11	克	15.4
总部	酸汤馋嘴蛙	白胡椒粉	3	3	36.33	克	0.22
总部	酸汤馋嘴蛙	家乐鸡精900g*10	5	5	20.5	克	0.11
总部	酸汤馋嘴蛙	食用盐400g*60	3	3	0.5	克	0
总部	酸汤馋嘴蛙	唐辣子剁辣椒10kg	20	20	110	克	0.22
总部	酸汤馋嘴蛙	家乐蒸鱼豉油2.35KG*6	10	10	24.67	克	0.11
总部	酸汤馋嘴蛙	莲花味精2000g*5	5	5	26	克	0.07
总部	酸汤馋嘴蛙	泡红椒1*2.5kg	120	120	7	克	1.68
总部	酸汤馋嘴蛙	李锦记蚝油6000ml	8	8	35	毫升	0.05
总部	冬笋炒腊肉	大蒜叶	30	30	3.4	克	0.2
总部	冬笋炒腊肉	美人椒	30	30	10.5	克	0.63
总部	冬笋炒腊肉	冬笋	700	700	14	克	19.6
总部	冬笋炒腊肉	冻肥膘	75	75	6	克	0.9
总部	冬笋炒腊肉	湘西腊肉	150	150	28	克	8.4
总部	冬笋炒腊肉	食用盐400g*60	2.5	2.5	0.5	克	0
总部	冬笋炒腊肉	海天草菇老抽500ml*12	6	6	6.8	毫升	0.08
总部	冬笋炒腊肉	莲花味精2000g*5	3	3	26	克	0.04
总部	冬笋炒腊肉	大豆油	15	15	104.5	克	0.08
总部	柠檬可乐	海南青柠檬（斤）	30	30	8.5	克	0.51
总部	柠檬可乐	可乐	500	500	1.88	克	1.88
总部	酱汁牛腩钵	生姜	25	25	3.15	克	0.16
总部	酱汁牛腩钵	大蒜子	15	15	4	克	0.12
总部	酱汁牛腩钵	香葱	10	10	4.75	克	0.1
总部	酱汁牛腩钵	美人椒	30	30	10.5	克	0.63
总部	酱汁牛腩钵	白胡椒粉	2	2	36.33	克	0.15
总部	酱汁牛腩钵	红星二锅头500ml*12	6	6	6.83	毫升	0.08
总部	酱汁牛腩钵	家乐鸡精900g*10	2	2	20.5	克	0.05
总部	酱汁牛腩钵	食用盐400g*60	2	2	0.5	克	0
总部	酱汁牛腩钵	甘草	5	5	5.5	克	0.06
总部	酱汁牛腩钵	冻牛筋	300	300	25	克	15
总部	酱汁牛腩钵	海天草菇老抽500ml*12	8	8	6.8	毫升	0.11
总部	酱汁牛腩钵	莲花味精2000g*5	5	5	26	克	0.07
总部	酱汁牛腩钵	原味黄野山椒节	2	2	18	克	0.07
总部	酱汁牛腩钵	大豆油	50	50	104.5	克	0.26
总部	酱汁牛腩钵	李锦记锦珍生抽500ml	10	10	4.5	毫升	0.09
总部	酱汁牛腩钵	李锦记蚝油6000ml	20	20	35	毫升	0.12
总部	酱汁牛腩钵	牛腩	300	300	0	克	0
总部	干鱿鱼笋丝	香葱	10	10	4.75	克	0.1
总部	干鱿鱼笋丝	冻肥膘	100	100	6	克	1.2
总部	干鱿鱼笋丝	白胡椒粒	5	5	50.5	克	0.51
总部	干鱿鱼笋丝	干鱿鱼	50	50	48.33	克	4.83
总部	干鱿鱼笋丝	家乐鸡精900g*10	5	5	20.5	克	0.11
总部	干鱿鱼笋丝	食用盐400g*60	2	2	0.5	克	0
总部	干鱿鱼笋丝	莲花味精2000g*5	5	5	26	克	0.07
总部	干鱿鱼笋丝	手工脆笋丝	280	280	16.8	克	9.41
总部	菊花枸杞雪梨茶（热）	枸杞	3	3	31.5	克	0.19
总部	菊花枸杞雪梨茶（热）	皇冠雪梨	300	300	3.75	克	2.25
总部	菊花枸杞雪梨茶（热）	菊花（客用）	5	5	0	克	0
总部	菊花枸杞雪梨茶（热）	单晶冰糖	10	10	5	克	0.1
总部	热拌香肚丝	香菜	50	50	5.35	克	0.54
总部	热拌香肚丝	小米椒	20	20	10	克	0.4
总部	热拌香肚丝	生姜	10	10	3.15	克	0.06
总部	热拌香肚丝	大蒜子	25	25	4	克	0.2
总部	热拌香肚丝	冻肥膘	50	50	6	克	0.6
总部	热拌香肚丝	红辣椒粉	8	8	9.17	克	0.15
总部	热拌香肚丝	卤药	25	25	26	克	1.3
总部	热拌香肚丝	食用盐400g*60	1	1	0.5	克	0
总部	热拌香肚丝	义丰祥麻油350ml*20	8	8	3.75	克	0.09
总部	热拌香肚丝	冻猪肚	375	375	19	克	14.25
总部	热拌香肚丝	海天草菇老抽500ml*12	5	5	6.8	毫升	0.07
总部	热拌香肚丝	莲花味精2000g*5	2	2	26	克	0.03
总部	热拌香肚丝	李锦记蚝油6000ml	5	5	35	毫升	0.03
总部	金蒜爱上虾	小米椒	6	6	10	克	0.12
总部	金蒜爱上虾	生姜	10	10	3.5	克	0.07
总部	金蒜爱上虾	大蒜子	150	150	2.25	克	0.68
总部	金蒜爱上虾	香葱	90	90	1.69	克	0.3
总部	金蒜爱上虾	白糖	3	3	3.8	克	0.02
总部	金蒜爱上虾	超级生粉	3	3	5.6	克	0.03
总部	金蒜爱上虾	鸡蛋1*420	0.5	0.5	0	个	0
总部	金蒜爱上虾	食用盐400g*60	1	1	2.8	克	0.01
总部	金蒜爱上虾	水煮汉虾	200	200	67.5	克	13.5
总部	金蒜爱上虾	家乐蒸鱼豉油2.35KG*6	8	8	24.5	克	0.08
总部	金蒜爱上虾	海天蚝油6kg	5	5	31	克	0.03
总部	金蒜爱上虾	海天金标生抽500ML	8	8	6	克	0.1
总部	金蒜爱上虾	双桥味精2.5kg	2	2	36	克	0.03
总部	金蒜爱上虾	海皇大豆油10L	80	80	68	克	0.59
总部	汽锅蛋饺香	生姜	20	20	3.5	克	0.14
总部	汽锅蛋饺香	香葱	2	2	0	克	0
总部	汽锅蛋饺香	去皮马蹄	50	50	0	克	0
总部	汽锅蛋饺香	鲜玉米	150	150	1.87	克	0.56
总部	汽锅蛋饺香	肉泥	150	150	4	克	1.2
总部	汽锅蛋饺香	大排	100	100	0	克	0
总部	汽锅蛋饺香	老母鸡	150	150	0.26	克	0.08
总部	汽锅蛋饺香	白胡椒粉	2	2	35	克	0.14
总部	汽锅蛋饺香	家乐鸡精900g*10	2	2	20.5	克	0.05
总部	汽锅蛋饺香	食用盐400g*60	2	2	2.8	克	0.01
总部	汽锅蛋饺香	双桥味精2.5kg	3	3	36	克	0.04
总部	汽锅蛋饺香	海皇大豆油10L	30	30	68	克	0.22
总部	汽锅蛋饺香	鸡蛋	20	20	5.3	克	0.21
总部	湘西手撕鸡	生姜	20	20	3.5	克	0.14
总部	湘西手撕鸡	大蒜叶	50	50	4	克	0.4
总部	湘西手撕鸡	大蒜子	10	10	2.25	克	0.05
总部	湘西手撕鸡	孜然粉	5	5	13	克	0.13
总部	湘西手撕鸡	干花椒籽	10	10	35	克	0.7
总部	湘西手撕鸡	红辣椒粉	10	10	9	克	0.18
总部	湘西手撕鸡	义丰祥麻油350ml*20	10	10	0	克	0
总部	湘西手撕鸡	红皮花生米	50	50	6	克	0.6
总部	湘西手撕鸡	鸭腿	900	900	5	克	9
总部	湘西手撕鸡	双桥味精2.5kg	2	2	36	克	0.03
总部	湘西手撕鸡	五丰花椒油330ml	5	5	12.5	克	0.19
总部	湘西手撕鸡	整辣椒干	80	80	9	克	1.44
总部	湘西手撕鸡	卤药包1kg	25	25	26	克	0.65
总部	湘西手撕鸡	海皇大豆油10L	60	60	68	克	0.44
总部	酱油炒饭	香葱	20	20	4.75	克	0.19
总部	酱油炒饭	冻肥膘	50	50	6	克	0.6
总部	酱油炒饭	鸡蛋1*420	1	1	139.15	个	0.33
总部	酱油炒饭	白胡椒粒	5	5	50.5	克	0.51
总部	酱油炒饭	食用盐400g*60	2	2	0.5	克	0
总部	酱油炒饭	海天草菇老抽500ml*12	10	10	6.8	毫升	0.14
总部	酱油炒饭	大豆油	20	20	104.5	克	0.1
总部	酱油炒饭	益香米15KG	200	200	124.5	克	1.66
总部	湖南米粉	江西米粉50*500g	200	200	3.8	克	1.52
总部	剁椒鱼头（半只）	大红椒	25	25	5	克	0.25
总部	剁椒鱼头（半只）	小米椒	5	5	10	克	0.1
总部	剁椒鱼头（半只）	生姜	4	4	3.5	克	0.03
总部	剁椒鱼头（半只）	大蒜子	5	5	4.5	克	0.05
总部	剁椒鱼头（半只）	香葱	2.5	2.5	0	克	0
总部	剁椒鱼头（半只）	家乐鸡精900g*10	2	2	20.5	克	0.05
总部	剁椒鱼头（半只）	老一品豆豉180g*30	3	3	4	克	0.07
总部	剁椒鱼头（半只）	家乐蒸鱼豉油2.35KG*6	10	10	24.5	克	0.1
总部	剁椒鱼头（半只）	泡红椒1*2.5kg	125	125	7	克	1.75
总部	剁椒鱼头（半只）	大湖有机鱼	1.9	1.9	12.5	斤	23.75
总部	剁椒鱼头（半只）	带皮肥膘	15	15	6	克	0.18
总部	剁椒鱼头（半只）	青岛啤酒冰纯600ML	25	25	2	克	0.08
总部	剁椒鱼头（半只）	双桥味精2.5kg	2	2	36	克	0.03
总部	剁椒鱼头（半只）	海皇大豆油10L	25	25	68	克	0.19
总部	剁椒鱼头（整只）	大红椒	50	50	5	克	0.5
总部	剁椒鱼头（整只）	小米椒	10	10	10	克	0.2
总部	剁椒鱼头（整只）	生姜	8	8	3.5	克	0.06
总部	剁椒鱼头（整只）	大蒜子	10	10	4.5	克	0.09
总部	剁椒鱼头（整只）	香葱	5	5	0	克	0
总部	剁椒鱼头（整只）	家乐鸡精900g*10	4	4	20.5	克	0.09
总部	剁椒鱼头（整只）	老一品豆豉180g*30	6	6	4	克	0.13
总部	剁椒鱼头（整只）	家乐蒸鱼豉油2.35KG*6	20	20	24.5	克	0.21
总部	剁椒鱼头（整只）	泡红椒1*2.5kg	250	250	7	克	3.5
总部	剁椒鱼头（整只）	大湖有机鱼	3.8	3.8	12.5	斤	47.5
总部	剁椒鱼头（整只）	带皮肥膘	30	30	6	克	0.36
